,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688538.SH,3.02,3.05,3.01,3.03,3.01,0.02,0.6645,309388.63,93704.195,1.3574,1.03,3.094,328257.028,3.122,277606.229,3.0815,287349.4575,3.1805,304955.6263,3.3684,440445.0311,3.4517,638303.3939,,,,
1,20211129,688538.SH,3.1,3.1,3.01,3.01,3.12,-0.11,-3.5256,736797.78,223915.566,3.2327,3.75,3.116,301386.736,3.139,326224.245,3.079,288314.0565,3.1877,305023.2433,3.3756,442735.3342,3.4595,661652.0698,,,,
2,20211126,688538.SH,3.16,3.16,3.12,3.12,3.16,-0.04,-1.2658,163202.32,51154.815,0.7478,0.81,3.144,196337.1,3.152,313320.957,3.078,261351.296,3.1948,299183.7673,3.383,442612.6144,3.4686,688516.5398,,,,
3,20211125,688538.SH,3.15,3.17,3.14,3.16,3.15,0.01,0.3175,241842.84,76238.248,1.1081,1.19,3.146,201232.98,3.145,318865.86,3.0715,267055.7315,3.2008,301032.9035,3.3899,449766.4235,3.477,738026.1068,,,,
4,20211124,688538.SH,3.15,3.16,3.13,3.15,3.14,0.01,0.3185,190053.57,59800.929,0.8708,0.84,3.142,203533.746,3.133,330516.504,3.063,269746.76,3.2065,304553.6773,3.3961,457644.2273,3.484,804110.8792,,,,
5,20211123,688538.SH,3.15,3.16,3.13,3.14,3.15,-0.01,-0.3175,175037.17,55043.868,0.802,0.5,3.15,226955.43,3.118,330304.134,3.0585,273428.2555,3.2122,306854.0833,3.4034,463346.9897,3.4928,922877.724,,,,
6,20211122,688538.SH,3.13,3.17,3.13,3.15,3.13,0.02,0.639,211549.6,66755.741,0.9693,0.49,3.162,351061.754,3.104,326955.514,3.057,272770.7405,3.2175,316138.8292,3.4108,471079.333,,,,,,
7,20211119,688538.SH,3.15,3.16,3.12,3.13,3.14,-0.01,-0.3185,187681.72,58824.21,0.8599,0.43,3.16,430304.814,3.089,321761.567,3.0555,269493.42,3.2238,319204.2272,3.4182,485778.0419,,,,,,
8,20211118,688538.SH,3.18,3.19,3.13,3.14,3.19,-0.05,-1.5674,253346.67,79840.562,1.1608,0.55,3.144,436498.74,3.077,324171.206,3.055,267918.225,3.231,323020.4297,3.427,502869.4158,,,,,,
9,20211117,688538.SH,3.2,3.21,3.16,3.19,3.2,-0.01,-0.3125,307161.99,97844.045,1.4074,0.71,3.124,457499.262,3.062,313725.945,3.054,263105.9,3.238,329215.7338,3.4364,534828.6399,,,,,,
10,20211116,688538.SH,3.14,3.25,3.13,3.2,3.14,0.06,1.9108,795568.79,255497.438,3.6452,2.63,3.086,433652.838,3.041,297092.686,3.0505,254626.5425,3.245,332907.6378,3.4438,547346.2678,,,,,,
11,20211115,688538.SH,3.05,3.18,3.04,3.14,3.05,0.09,2.9508,607764.9,189503.829,2.7847,2.85,3.046,302849.274,3.019,250403.868,3.048,220455.0455,3.2518,327461.2805,3.4506,555985.8397,,,,,,
12,20211112,688538.SH,3.03,3.06,3.03,3.05,3.04,0.01,0.3289,218651.35,66564.56,1.0018,1.03,3.018,213218.32,3.004,209381.635,3.048,197094.547,3.2602,327349.0278,3.4581,578178.3893,,,,,,
13,20211111,688538.SH,2.99,3.05,2.98,3.04,3.0,0.04,1.3333,358349.28,108673.969,1.6419,2.11,3.01,211843.672,2.998,215245.603,3.054,197760.372,3.2697,331183.435,3.4645,587145.2623,,,,,,
14,20211110,688538.SH,3.0,3.0,2.97,3.0,3.0,0.0,0.0,187929.87,56132.89,0.8611,1.17,3.0,169952.628,2.993,208977.016,3.0615,208909.891,3.2795,331715.1437,3.4712,602966.9233,,,,,,
15,20211109,688538.SH,3.0,3.01,2.99,3.0,3.0,0.0,0.0,141550.97,42467.067,0.6486,0.72,2.996,160532.534,2.999,216552.377,3.067,209148.2845,3.29,334854.184,3.4797,615563.24,,,,,,
16,20211108,688538.SH,3.01,3.01,2.97,3.0,3.01,-0.01,-0.3322,159610.13,47736.957,0.7313,0.78,2.992,197958.462,3.01,218585.967,3.0725,215844.911,3.3002,340262.6203,3.489,632265.6788,,,,,,
17,20211105,688538.SH,3.0,3.02,2.99,3.01,2.99,0.02,0.6689,211778.11,63703.678,0.9703,0.97,2.99,205544.95,3.022,217225.273,3.079,219836.8955,3.3107,347755.9947,3.4978,643333.299,,,,,,
18,20211104,688538.SH,2.99,3.0,2.98,2.99,2.98,0.01,0.3356,148894.06,44522.963,0.6822,0.6,2.986,218647.534,3.033,211665.244,3.0855,220458.1425,3.322,351337.7068,3.5063,657505.3504,,,,,,
19,20211103,688538.SH,2.98,3.01,2.97,2.98,2.98,0.0,0.0,140829.4,42075.607,0.6453,0.52,2.986,248001.404,3.046,212485.855,3.0915,225003.1455,3.3335,358074.4612,3.5155,683663.5355,,,,,,
20,20211102,688538.SH,2.99,3.05,2.97,2.98,2.99,-0.01,-0.3344,328680.61,98880.384,1.506,1.37,3.002,272572.22,3.06,212160.399,3.098,240583.3075,3.3458,366809.4795,3.5258,708494.1812,,,,,,
21,20211101,688538.SH,2.98,3.0,2.96,2.99,2.99,0.0,0.0,197542.57,58894.873,0.9051,0.86,3.028,239213.472,3.077,190506.223,3.1095,236680.856,3.3573,373083.249,3.5356,736319.6724,,,,,,
22,20211029,688538.SH,2.99,3.0,2.94,2.99,2.99,0.0,0.0,277291.03,82560.424,1.2705,1.35,3.054,228905.596,3.092,184807.459,3.121,255465.5605,3.3685,381403.868,3.5467,773949.5886,,,,,,
23,20211028,688538.SH,3.06,3.06,2.98,2.99,3.06,-0.07,-2.2876,295663.41,89109.372,1.3547,1.67,3.08,204682.954,3.11,180275.141,3.137,255164.784,3.3787,394603.0397,3.5581,832220.1819,,,,,,
24,20211027,688538.SH,3.11,3.11,3.05,3.06,3.11,-0.05,-1.6077,263683.48,81071.065,1.2082,1.74,3.106,176970.306,3.13,208842.766,3.155,254480.839,3.3908,427587.3712,3.5682,910983.7031,,,,,,
25,20211026,688538.SH,3.11,3.12,3.1,3.11,3.12,-0.01,-0.3205,161886.87,50319.674,0.7417,1.14,3.118,151748.578,3.135,201744.192,3.17,258353.087,3.4,436131.4798,3.5796,1052767.6177,,,,,,
26,20211025,688538.SH,3.11,3.12,3.1,3.12,3.12,0.0,0.0,146003.19,45356.131,0.669,1.04,3.126,141798.974,3.135,213103.855,3.1805,264791.392,3.4092,447134.5183,,,,,,,,
27,20211022,688538.SH,3.11,3.14,3.1,3.12,3.12,0.0,0.0,156177.82,48702.226,0.7156,1.0,3.13,140709.322,3.136,222448.518,3.1905,275496.2565,3.4188,456135.9532,,,,,,,,
28,20211021,688538.SH,3.12,3.13,3.1,3.12,3.12,0.0,0.0,157100.17,48912.345,0.7198,0.65,3.14,155867.328,3.138,229251.041,3.2025,281371.084,3.4287,461970.9003,,,,,,,,
29,20211020,688538.SH,3.16,3.16,3.12,3.12,3.15,-0.03,-0.9524,137574.84,43081.4,0.6304,0.55,3.154,240715.226,3.137,237520.436,3.214,290649.443,3.4385,466866.1972,,,,,,,,
30,20211019,688538.SH,3.15,3.16,3.14,3.15,3.14,0.01,0.3185,112138.85,35354.602,0.5138,0.39,3.152,251739.806,3.136,269006.216,3.227,300445.518,3.4482,474712.6293,,,,,,,,
31,20211018,688538.SH,3.18,3.18,3.13,3.14,3.17,-0.03,-0.9464,140554.93,44217.471,0.644,0.46,3.144,284408.736,3.142,282855.489,3.2395,314380.7225,3.458,483526.3315,,,,,,,,
32,20211015,688538.SH,3.19,3.21,3.15,3.17,3.19,-0.02,-0.627,231967.85,73648.538,1.0629,0.77,3.142,304187.714,3.15,326123.662,3.2535,327580.036,3.468,494102.9768,,,,,,,,
33,20211014,688538.SH,3.11,3.25,3.1,3.19,3.11,0.08,2.5723,581339.66,186117.163,2.6636,2.48,3.136,302634.754,3.164,330054.427,3.268,336956.6695,3.4783,504767.4997,,,,,,,,
34,20211013,688538.SH,3.1,3.11,3.08,3.11,3.11,0.0,0.0,192697.74,59649.81,0.8829,0.67,3.12,234325.646,3.18,300118.912,3.2805,320777.4675,3.4888,519849.2648,,,,,,,,
35,20211012,688538.SH,3.12,3.13,3.09,3.11,3.13,-0.02,-0.639,275483.5,85589.528,1.2622,0.98,3.12,286272.626,3.205,314961.982,3.2965,325086.1315,3.4992,525722.4375,,,,,,,,
36,20211011,688538.SH,3.14,3.15,3.11,3.13,3.14,-0.01,-0.3185,239449.82,74855.483,1.0971,0.69,3.14,281302.242,3.226,316478.929,3.312,331595.2195,3.5093,532584.2005,,,,,,,,
