,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688575.SH,31.52,33.18,30.99,32.98,31.99,0.99,3.0947,34153.83,109161.519,9.8002,1.14,31.536,33007.522,29.791,22814.376,28.4635,15574.581,29.0222,11274.6308,33.4557,13039.0656,36.0375,15431.6492,,,,
1,20211129,688575.SH,31.98,33.33,30.93,31.99,31.25,0.74,2.368,31496.53,100642.8,9.0377,1.23,30.766,29841.67,29.281,20277.347,28.098,14279.6245,29.0455,10847.2805,33.5699,12882.3923,36.2735,15299.766,,,,
2,20211126,688575.SH,32.67,32.67,31.09,31.25,32.0,-0.75,-2.3438,30647.96,97028.94,8.7942,1.44,29.996,25708.172,28.956,18201.695,27.8015,13337.858,29.0785,10495.9042,33.6955,12718.1119,36.5244,15420.497,,,,
3,20211125,688575.SH,29.95,33.75,29.41,32.0,29.46,2.54,8.6219,52323.48,163867.023,15.0139,4.04,29.246,21251.682,28.603,15982.325,27.5155,12211.068,29.1385,10135.7803,33.827,12514.666,36.8103,15544.5651,,,,
4,20211124,688575.SH,29.05,29.52,28.67,29.46,29.13,0.33,1.1329,16415.81,47895.449,4.7104,1.3,28.354,12964.226,28.119,11303.174,27.2015,9957.994,29.1937,9400.845,33.9501,12144.8539,37.0884,15454.4635,,,,
5,20211123,688575.SH,28.14,29.3,27.96,29.13,28.14,0.99,3.5181,18324.57,52512.693,5.2581,1.71,28.046,12621.23,27.881,10278.44,27.0715,9572.6325,29.2975,9306.6163,34.1013,12200.7996,37.3871,15713.4131,,,,
6,20211122,688575.SH,27.7,28.58,27.26,28.14,27.5,0.64,2.3273,10829.04,30203.104,3.1073,1.01,27.796,10713.024,27.643,9461.99,27.036,8835.9055,29.387,9420.1055,34.2732,12136.8531,37.7093,15764.0283,,,,
7,20211119,688575.SH,27.84,27.84,27.08,27.5,27.54,-0.04,-0.1452,8365.51,22852.895,2.4004,0.78,27.916,10695.218,27.436,8887.699,27.06,8478.4965,29.5425,9362.4987,34.4577,12241.3526,38.0373,15899.4794,,,,
8,20211118,688575.SH,27.85,28.75,27.5,27.54,27.92,-0.38,-1.361,10886.2,30497.857,3.1237,1.13,27.96,10712.968,27.339,8909.477,27.1145,8399.043,29.703,9412.4667,34.6427,12460.9619,38.3811,16223.6434,,,,
9,20211117,688575.SH,27.48,28.32,27.08,27.92,27.88,0.04,0.1435,14700.83,40728.27,4.2183,1.85,27.884,9642.122,27.239,8631.371,27.1925,8132.458,29.8715,9536.8672,34.837,12603.3064,38.6988,16555.0567,,,,
