,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688699.SH,229.16,232.0,218.23,218.6,228.71,-10.11,-4.4204,15825.24,352959.301,8.9598,0.95,229.588,16402.926,225.237,15928.583,223.553,14350.252,251.0303,12178.4513,278.7018,16134.2293,268.2681,16724.8992,,,,
1,20211129,688699.SH,228.0,231.0,225.6,228.71,232.2,-3.49,-1.503,10511.91,239648.844,5.9516,0.51,233.466,16592.89,224.478,15249.082,223.2,14349.7035,252.3195,12104.9482,280.3633,16614.9966,267.9082,16766.1927,,,,
2,20211126,688699.SH,238.6,240.95,230.5,232.2,241.55,-9.35,-3.8708,15276.55,359307.527,8.6492,0.77,235.236,20488.226,223.257,15187.613,222.5385,14342.314,253.5863,12120.5135,281.5,16611.0069,267.5356,16868.4639,,,,
3,20211125,688699.SH,228.02,249.0,225.41,241.55,226.88,14.67,6.466,24735.68,589102.475,14.0047,1.46,230.836,19888.702,222.325,14625.659,221.529,14140.4425,254.859,12104.3548,282.0312,16470.4996,267.2253,16859.1984,,,,
4,20211124,688699.SH,237.99,239.98,226.58,226.88,237.99,-11.11,-4.6683,15665.25,361940.411,8.8693,1.01,223.846,16995.052,220.93,13556.078,219.9305,13564.427,255.9165,12027.9085,281.9934,16405.5862,266.8508,16757.9597,,,,
5,20211123,688699.SH,237.56,243.0,234.0,237.99,237.56,0.43,0.181,16775.06,398254.247,9.4976,1.21,220.886,15454.24,221.049,13064.753,219.3865,13485.8355,257.3573,12000.6218,282.0446,16535.42,266.5507,16755.353,,,,
6,20211122,688699.SH,211.55,245.67,210.97,237.56,210.2,27.36,13.0162,29988.59,687548.133,16.9788,3.03,215.49,13905.274,220.128,13178.997,218.755,13879.07,258.6575,11958.8982,281.8647,16677.6115,266.1232,16758.574,,,,
7,20211119,688699.SH,207.08,210.59,202.0,210.2,206.6,3.6,1.7425,12278.93,254238.471,6.952,1.31,211.278,9887.0,217.559,11444.697,219.139,13643.44,259.9982,11695.4285,281.3224,16581.1223,265.5505,16608.5659,,,,
8,20211118,688699.SH,210.9,214.99,206.5,206.6,212.08,-5.48,-2.5839,10267.43,214115.581,5.8132,1.01,213.814,9362.616,218.845,11319.842,220.769,13790.7275,261.8115,11913.8737,281.194,16641.9715,265.1572,16609.165,,,,
9,20211117,688699.SH,211.88,212.85,207.4,212.08,211.01,1.07,0.5071,7961.19,167454.046,4.5074,0.75,218.014,10117.104,221.035,11872.636,221.979,13601.7915,263.5932,12076.5467,281.0305,16712.3021,264.7929,16609.7081,,,,
10,20211116,688699.SH,213.0,219.95,210.33,211.01,216.5,-5.49,-2.5358,9030.23,192867.1,5.1127,0.73,221.212,10675.266,221.869,12771.921,223.1775,13499.5405,265.458,12592.1055,280.8601,16794.3973,264.3639,16661.1582,,,,
11,20211115,688699.SH,221.92,227.9,215.06,216.5,222.88,-6.38,-2.8625,9897.22,218285.708,5.6036,0.76,224.766,12452.72,221.922,13450.325,224.5895,13414.5125,266.544,12753.8055,280.618,16975.2075,263.9205,16761.1785,,,,
12,20211112,688699.SH,224.88,226.0,220.26,222.88,227.6,-4.72,-2.0738,9657.01,215329.298,5.4676,0.73,223.84,13002.394,221.82,13497.015,225.6285,13413.8975,267.8357,12865.5225,280.465,17080.7416,263.3268,16821.4596,,,,
13,20211111,688699.SH,228.0,235.18,221.32,227.6,228.07,-0.47,-0.2061,14039.87,318855.624,7.949,1.03,223.876,13277.068,220.733,13655.226,226.7445,13546.8675,268.9417,12988.6862,280.0769,17094.7558,262.6165,16881.9718,,,,
14,20211110,688699.SH,228.75,231.45,223.0,228.07,228.78,-0.71,-0.3103,10752.0,244235.363,6.0875,0.72,224.056,13628.168,218.931,13572.776,227.4755,13666.234,269.8902,13064.4932,279.651,17120.0231,261.8545,16943.5178,,,,
15,20211109,688699.SH,212.6,229.9,212.0,228.78,211.87,16.91,7.9813,17917.5,399638.278,10.1444,1.24,222.526,14868.576,217.724,13906.918,228.535,13582.171,270.9615,13356.253,279.2298,17103.2552,261.0789,16961.6873,,,,
16,20211108,688699.SH,222.0,222.0,207.94,211.87,223.06,-11.19,-5.0166,12645.59,267321.55,7.1596,0.9,219.078,14447.93,217.382,14579.143,228.9465,13502.6115,271.7305,13395.0167,278.822,17110.0091,260.2858,16922.8147,,,,
17,20211105,688699.SH,231.0,235.22,222.08,223.06,228.5,-5.44,-2.3807,11030.38,249205.034,6.2451,0.79,219.8,13991.636,220.719,15842.183,231.338,13354.9285,272.933,13420.3247,278.4573,17081.2135,259.6035,16948.8777,,,,
18,20211104,688699.SH,220.88,233.5,218.66,228.5,220.42,8.08,3.6657,15795.37,361217.145,8.9429,1.17,217.59,14033.384,222.693,16261.613,233.9745,13179.512,274.0253,13563.903,277.9667,17186.679,258.778,16971.3504,,,,
19,20211103,688699.SH,210.0,225.77,209.98,220.42,211.54,8.88,4.1978,16954.04,373990.873,9.5989,1.31,213.806,13517.384,222.923,15330.947,236.2145,12630.866,274.917,13805.576,277.5653,17192.9413,257.9238,16941.0137,,,,
20,20211102,688699.SH,217.39,221.6,207.88,211.54,215.48,-3.94,-1.8285,15814.27,341522.597,8.9536,1.08,212.922,12945.26,224.486,14227.16,238.7035,12073.736,276.4948,13922.4062,277.2111,17199.8286,257.1368,16969.7323,,,,
21,20211101,688699.SH,212.09,218.58,208.9,215.48,212.01,3.47,1.6367,10364.12,222774.852,5.8679,0.59,215.686,14710.356,227.257,13378.7,242.0515,11551.8515,278.5475,13994.6317,276.8498,17249.4905,256.5074,17014.457,,,,
22,20211029,688699.SH,210.99,218.29,208.9,212.01,209.58,2.43,1.1595,11239.12,240867.932,6.3633,0.61,221.638,17692.73,229.437,13330.78,245.074,11375.9165,280.8228,14142.9085,276.535,17373.6939,255.8179,17158.7698,,,,
23,20211028,688699.SH,215.99,221.89,208.29,209.58,216.0,-6.42,-2.9722,13215.37,282021.171,7.4822,0.77,227.796,18489.842,232.756,13438.509,248.5525,11104.589,282.8093,14327.6552,276.3645,17402.9496,255.1146,17272.5117,,,,
24,20211027,688699.SH,223.0,224.57,215.26,216.0,225.36,-9.36,-4.1534,14093.42,307861.945,7.9793,0.91,232.04,17144.51,236.02,13759.692,252.15,10891.137,285.3963,14570.8735,276.2349,17396.6662,254.4763,17470.2118,,,,
25,20211026,688699.SH,243.01,243.39,224.8,225.36,245.24,-19.88,-8.1063,24639.75,565744.755,13.9504,2.05,236.05,15509.06,239.346,13257.424,255.3675,10610.1305,287.803,14711.1905,275.9835,17409.2565,253.718,17797.1133,,,,
26,20211025,688699.SH,262.3,262.3,241.02,245.24,242.8,2.44,1.0049,25275.99,622626.664,14.3106,2.82,238.828,12047.044,240.511,12426.08,257.74,9717.5675,290.2488,14713.166,275.5969,17334.4748,252.982,17966.7252,,,,
27,20211022,688699.SH,234.69,245.65,233.69,242.8,230.8,12.0,5.1993,15224.68,366312.897,8.6198,1.82,237.236,8968.83,241.957,10867.674,259.709,8829.73,292.178,14747.6175,274.8328,17201.5911,251.89,17874.3133,,,,
28,20211021,688699.SH,235.0,238.11,229.0,230.8,236.05,-5.25,-2.2241,6488.71,151435.346,3.6737,0.63,237.716,8387.176,245.256,10097.411,261.919,8424.6205,293.6313,14884.3682,274.0348,17172.8525,250.6598,17844.2178,,,,
29,20211020,688699.SH,242.5,245.27,234.71,236.05,239.25,-3.2,-1.3375,5916.17,140835.747,3.3496,0.54,240.0,10374.874,249.506,9930.785,264.879,8547.005,295.3963,15047.7805,273.3557,17211.2914,249.515,17865.0547,,,,
30,20211019,688699.SH,237.27,243.9,234.02,239.25,237.28,1.97,0.8302,7329.67,176212.773,4.1499,0.57,242.642,11005.788,252.921,9920.312,267.4315,8873.2685,296.8955,15208.1992,272.6012,17293.4817,248.3228,17881.6993,,,,
31,20211018,688699.SH,243.0,243.02,232.67,237.28,245.2,-7.92,-3.23,9884.92,233344.664,5.5966,0.77,242.194,12805.116,256.846,9725.003,270.8185,9215.5535,298.4913,15430.2368,271.7867,17430.5117,247.1132,17967.2658,,,,
32,20211015,688699.SH,242.5,249.25,237.35,245.2,242.22,2.98,1.2303,12316.41,300020.82,6.9732,1.04,246.678,12766.518,260.711,9421.053,273.755,9238.9725,299.955,15465.5798,270.8664,17502.972,245.9259,18046.3342,,,,
33,20211014,688699.SH,238.0,244.99,225.8,242.22,249.26,-7.04,-2.8244,16427.2,389099.752,9.3007,1.73,252.796,11807.646,264.349,8770.669,276.75,9188.6505,301.265,15542.2243,269.7909,17548.9927,244.6061,18075.58,,,,
