,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688728.SH,33.88,34.33,32.77,32.92,33.58,-0.66,-1.9655,91887.88,308182.252,5.5796,0.75,33.656,118675.796,33.076,101118.558,32.46,100663.404,31.8762,97134.6215,,,,,,,,
1,20211129,688728.SH,33.08,33.95,33.02,33.58,33.68,-0.1,-0.2969,62445.61,209056.528,3.7918,0.47,33.712,122427.354,32.974,101226.936,32.2765,101121.0535,31.9237,99349.6797,,,,,,,,
2,20211126,688728.SH,34.5,34.85,33.64,33.68,34.98,-1.3,-3.7164,125592.71,426823.617,7.6263,1.06,33.602,131601.92,32.899,105731.633,32.1125,101827.4075,31.9707,103610.6043,,,,,,,,
3,20211125,688728.SH,32.93,35.42,32.88,34.98,33.12,1.86,5.6159,200533.05,694967.47,12.1768,2.21,33.276,118795.498,32.868,105044.109,31.9155,99493.6135,32.0078,105946.7338,,,,,,,,
4,20211124,688728.SH,33.2,33.95,32.98,33.12,33.2,-0.08,-0.241,112919.73,378348.781,6.8567,1.35,32.63,90658.256,32.645,98409.928,31.6945,93152.221,32.0373,109368.537,,,,,,,,
5,20211123,688728.SH,33.0,33.77,32.75,33.2,33.03,0.17,0.5147,110645.67,367952.597,6.7186,1.38,32.496,83561.32,32.564,97240.654,31.5405,93510.4815,32.0865,113410.411,,,,,,,,
6,20211122,688728.SH,32.19,33.28,32.15,33.03,32.05,0.98,3.0577,108318.44,356596.003,6.5773,1.36,32.236,80026.518,32.443,96856.851,31.4735,91532.759,32.127,120208.924,,,,,,,,
7,20211119,688728.SH,31.8,32.23,31.61,32.05,31.75,0.3,0.9449,61560.6,196790.858,3.7381,0.67,32.196,79861.346,32.203,92487.549,31.447,89391.7775,32.2217,132054.2038,,,,,,,,
8,20211118,688728.SH,32.36,32.63,31.71,31.75,32.45,-0.7,-2.1572,59846.84,191512.036,3.634,0.56,32.46,91292.72,32.129,95958.342,31.4735,94576.443,32.275,150341.72,,,,,,,,
9,20211117,688728.SH,32.06,32.48,31.6,32.45,31.9,0.55,1.7241,77435.05,249249.27,4.702,0.7,32.66,106161.6,32.024,96042.487,31.419,94192.564,,,,,,,,,,
10,20211116,688728.SH,32.52,32.81,31.86,31.9,32.83,-0.93,-2.8328,92971.66,300233.723,5.6454,0.82,32.632,110919.988,31.844,100208.25,31.376,94013.46,,,,,,,,,,
11,20211115,688728.SH,33.49,33.72,32.69,32.83,33.37,-0.54,-1.6182,107492.58,355811.104,6.5272,1.02,32.65,113687.184,31.579,101015.171,31.3185,91799.8285,,,,,,,,,,
12,20211112,688728.SH,32.83,33.7,32.5,33.37,32.75,0.62,1.8931,118717.47,394823.403,7.2088,1.18,32.21,105113.752,31.326,97923.182,31.232,89375.302,,,,,,,,,,
13,20211111,688728.SH,32.03,33.33,31.96,32.75,32.31,0.44,1.3618,134191.24,439632.318,8.1484,1.56,31.798,100623.964,30.963,93943.118,31.1435,87961.677,,,,,,,,,,
14,20211110,688728.SH,31.76,32.65,31.48,32.31,31.99,0.32,1.0003,101226.99,325378.121,6.1467,1.13,31.388,85923.374,30.744,87894.514,31.0865,83737.386,,,,,,,,,,
15,20211109,688728.SH,30.46,32.5,30.46,31.99,30.63,1.36,4.4401,106807.64,337321.335,6.4856,1.21,31.056,89496.512,30.517,89780.309,31.074,83353.0125,,,,,,,,,,
16,20211108,688728.SH,31.03,31.27,30.13,30.63,31.31,-0.68,-2.1718,64625.42,197199.784,3.9242,0.71,30.508,88343.158,30.504,86208.667,31.017,80069.63,,,,,,,,,,
17,20211105,688728.SH,31.15,31.6,30.7,31.31,30.7,0.61,1.987,96268.53,300083.565,5.8456,1.1,30.442,90732.612,30.691,86296.006,31.0395,80024.455,,,,,,,,,,
18,20211104,688728.SH,30.69,31.16,30.4,30.7,30.65,0.05,0.1631,60688.29,186360.714,3.6851,0.68,30.128,87262.272,30.818,93194.544,31.0,77640.939,,,,,,,,,,
19,20211103,688728.SH,29.39,31.5,29.36,30.65,29.25,1.4,4.7863,119092.68,365018.06,7.2316,1.32,30.1,89865.654,30.814,92342.641,30.98,76797.6855,,,,,,,,,,
20,20211102,688728.SH,30.26,31.15,29.08,29.25,30.3,-1.05,-3.4653,101040.87,304503.593,6.1354,1.2,29.978,90064.106,30.908,87818.67,30.9375,74504.731,,,,,,,,,,
21,20211101,688728.SH,29.5,30.77,29.27,30.3,29.74,0.56,1.883,76572.69,231454.056,4.6497,0.94,30.5,84074.176,31.058,82584.486,31.012,72913.2835,,,,,,,,,,
22,20211029,688728.SH,29.5,30.34,28.91,29.74,30.56,-0.82,-2.6832,78916.83,233970.413,4.792,0.8,30.94,81859.4,31.138,80827.422,31.06,74269.0985,,,,,,,,,,
23,20211028,688728.SH,29.87,30.6,29.6,30.56,30.04,0.52,1.731,73705.2,222502.098,4.4755,0.78,31.508,99126.816,31.324,81980.236,31.0895,73059.5135,,,,,,,,,,
24,20211027,688728.SH,31.8,31.81,29.77,30.04,31.86,-1.82,-5.7125,120084.94,366229.775,7.2918,1.4,31.528,94819.628,31.429,79580.258,31.107,72856.7915,,,,,,,,,,
25,20211026,688728.SH,32.6,32.87,31.81,31.86,32.5,-0.64,-1.9692,71091.22,228255.064,4.3168,0.88,31.838,85573.234,31.631,76925.716,31.1345,69478.7015,,,,,,,,,,
26,20211025,688728.SH,32.39,32.6,31.81,32.5,32.58,-0.08,-0.2455,65498.81,210779.242,3.9772,0.82,31.616,81094.796,31.53,73930.593,31.0645,69939.669,,,,,,,,,,
27,20211022,688728.SH,30.9,33.42,30.71,32.58,30.66,1.92,6.2622,165253.91,533805.839,10.0346,2.55,31.336,79795.444,31.388,73752.904,30.947,70921.4115,,,,,,,,,,
28,20211021,688728.SH,31.38,31.59,30.6,30.66,31.59,-0.93,-2.944,52169.26,161454.909,3.1678,0.81,31.14,64833.656,31.182,62087.334,30.896,66416.51,,,,,,,,,,
