,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688508.SH,140.4,142.98,133.0,135.23,139.13,-3.9,-2.8031,19959.41,273289.094,2.964,1.37,139.972,15373.986,141.582,15172.725,139.6685,14024.32,129.2272,14355.6175,128.8286,22516.1828,122.8557,23390.6289,102.9058,18743.0223,,
1,20211129,688508.SH,137.61,141.55,136.5,139.13,140.0,-0.87,-0.6214,13521.9,188654.223,2.008,0.89,142.338,14565.492,142.059,14218.034,139.4515,13985.428,129.5008,14260.42,128.4833,22642.7097,122.4237,23339.0444,102.8281,18716.0147,,
2,20211126,688508.SH,141.0,143.88,138.8,140.0,142.5,-2.5,-1.7544,13742.36,192663.192,2.0408,0.86,143.742,15260.214,142.183,14011.071,139.005,14628.5875,129.7407,14289.7095,128.082,23024.5398,121.9727,23460.42,102.732,18734.4112,,
3,20211125,688508.SH,142.78,145.68,140.03,142.5,143.0,-0.5,-0.3497,14503.05,208021.357,2.1537,0.98,144.638,15900.046,142.403,13819.306,138.095,15773.6575,130.0657,14315.475,127.7884,23284.7675,121.5089,23627.8018,102.651,18767.4818,,
4,20211124,688508.SH,146.03,148.89,142.9,143.0,147.06,-4.06,-2.7608,15143.21,220146.795,2.2488,1.01,143.8,14735.174,142.751,14150.106,136.58,16754.9045,130.4257,14528.0832,127.2854,23340.7896,120.9987,23671.3961,102.561,18808.2641,,
5,20211123,688508.SH,145.3,152.0,144.3,147.06,146.15,0.91,0.6226,15916.94,235083.259,2.3637,1.15,143.192,14971.464,142.324,13943.43,134.959,16865.1615,130.7588,14912.6128,126.8124,23467.9011,120.4454,23659.8037,102.4701,18870.0206,,
6,20211122,688508.SH,147.0,147.55,142.52,146.15,144.48,1.67,1.1559,16995.51,247641.602,2.5239,1.33,141.78,13870.576,141.317,13571.957,133.4445,16729.399,130.8058,15347.1815,126.2706,23508.5889,119.88,23753.1688,102.3617,18907.7252,,
7,20211119,688508.SH,138.76,146.22,138.76,144.48,138.31,6.17,4.461,16941.52,244905.057,2.5159,1.44,140.624,12761.928,140.042,13158.395,132.217,16356.13,130.6632,15468.8273,125.7241,23536.7671,119.2657,23677.7361,102.2755,18935.9032,,
8,20211118,688508.SH,139.0,144.49,135.32,138.31,139.96,-1.65,-1.1789,8678.69,120688.196,1.2888,0.64,140.168,11738.566,138.942,12643.446,130.94,15914.7225,130.4802,15540.8975,125.2372,23620.8965,118.6709,23599.3829,102.2294,19043.9842,,
9,20211117,688508.SH,140.5,140.5,134.0,139.96,140.0,-0.04,-0.0286,16324.66,224239.468,2.4243,1.26,141.702,13565.038,138.476,12941.059,129.9345,15737.156,130.3583,15915.2358,124.8014,23823.7569,118.1176,23600.0951,102.2037,19209.1328,,
10,20211116,688508.SH,139.1,144.58,138.11,140.0,140.37,-0.37,-0.2636,10412.5,147345.252,1.5463,0.78,141.456,12915.396,137.755,12875.915,128.8835,15228.3375,130.4017,15925.5282,124.3994,23954.7642,117.5428,23514.5448,102.0835,19195.0317,,
11,20211115,688508.SH,143.15,146.1,139.03,140.37,142.2,-1.83,-1.2869,11452.27,163299.036,1.7007,0.84,140.854,13273.338,136.844,13752.822,127.886,15079.0185,130.4517,16205.7035,123.9991,24193.8904,116.9744,23488.2932,101.9707,19221.7684,,
12,20211112,688508.SH,143.03,147.4,141.3,142.2,145.98,-3.78,-2.5894,11824.71,170037.798,1.756,0.87,139.46,13554.862,135.827,15246.104,126.9505,14923.1085,130.5778,16390.1225,123.5794,24569.4533,116.4125,23490.949,101.8532,19232.3263,,
13,20211111,688508.SH,138.0,148.0,137.17,145.98,138.73,7.25,5.226,17811.05,255704.003,2.645,1.45,137.716,13548.326,133.787,17728.009,126.124,15013.5555,130.6708,16528.176,123.045,24803.7796,115.8187,23448.6697,101.7319,19305.3337,,
14,20211110,688508.SH,136.66,140.5,135.51,138.73,136.99,1.74,1.2702,13076.45,180499.204,1.9419,1.02,135.25,12317.08,130.409,19359.703,124.7575,14438.17,130.7525,16889.3037,122.4898,24956.3748,115.2015,23359.1409,101.5728,19311.026,,
15,20211109,688508.SH,131.5,137.94,131.1,136.99,133.4,3.59,2.6912,12202.21,165061.274,1.8121,0.86,134.054,12836.434,127.594,19786.893,123.706,14213.423,130.8653,17673.6537,121.9195,25000.9308,114.6479,23298.895,101.4231,19335.3575,,
16,20211108,688508.SH,131.11,134.24,127.5,133.4,133.48,-0.08,-0.0599,12859.89,168444.808,1.9097,0.76,132.834,14232.306,125.572,19886.841,122.5345,14223.564,131.1618,18159.5912,121.4116,25046.5321,114.1044,23266.1284,101.2795,19343.8415,,
17,20211105,688508.SH,135.27,140.5,132.01,133.48,133.65,-0.17,-0.1272,11792.03,158871.92,1.7511,0.54,132.194,16937.346,124.392,19553.865,121.9165,13971.0005,131.4068,18641.0805,120.9186,25092.3637,113.5941,23223.4091,101.1411,19324.03,,
18,20211104,688508.SH,131.66,137.51,131.66,133.65,132.75,0.9,0.678,11654.82,157140.403,1.7308,0.44,129.858,21907.692,122.938,19185.999,121.4165,13891.395,131.4205,19014.7218,120.4398,25235.243,113.0708,23178.0161,101.0036,19309.5898,,
19,20211103,688508.SH,131.03,136.63,130.66,132.75,130.89,1.86,1.421,15673.22,208676.426,2.3275,0.59,125.568,26402.326,121.393,18533.253,121.124,13905.033,131.2763,19417.9117,119.9716,25289.5364,112.5392,23149.8602,100.86,19328.775,,
20,20211102,688508.SH,132.0,134.87,128.68,130.89,130.2,0.69,0.53,19181.57,252665.727,2.8485,0.75,121.134,26737.352,120.012,17580.76,120.5165,13631.1225,131.2805,19786.8963,119.4931,25263.8907,112.0278,23103.4655,100.7036,19330.895,,
