,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688529.SH,37.07,38.37,36.99,37.3,37.28,0.02,0.0536,19055.89,71599.298,5.877,0.53,36.724,32007.63,34.77,30317.083,31.681,30505.1265,28.6745,17421.6885,29.4997,23026.2337,28.7652,20896.691,30.8028,20710.2395,,
1,20211129,688529.SH,35.66,38.7,35.5,37.28,36.86,0.42,1.1394,27326.47,102806.502,8.4278,0.79,36.324,35784.29,34.13,31971.33,31.0065,29979.417,28.614,17556.5007,29.3666,22936.623,28.6682,20918.8154,30.8776,20852.13,,
2,20211126,688529.SH,36.2,37.79,36.01,36.86,36.48,0.38,1.0417,26020.31,96245.647,8.0249,0.74,35.444,34690.174,33.678,33337.692,30.336,29067.126,28.5545,17722.8273,29.242,22749.255,28.5767,20961.5972,30.9605,20991.3046,,
3,20211125,688529.SH,35.65,37.53,34.36,36.48,35.7,0.78,2.1849,38885.26,140247.444,11.9926,1.15,34.596,35296.524,33.098,34303.6,29.6425,28072.202,28.4873,17878.1502,29.1293,22576.2387,28.4792,20863.323,31.0555,21233.4602,,
4,20211124,688529.SH,35.13,38.65,35.02,35.7,35.3,0.4,1.1331,48750.22,179823.261,15.035,1.7,33.61,33666.918,32.5,34070.06,28.95,26693.441,28.4497,17702.7342,29.018,22285.1319,28.3818,20644.586,31.1454,21368.3332,,
5,20211123,688529.SH,33.21,36.2,33.0,35.3,32.88,2.42,7.3601,37939.19,132932.35,11.7008,1.35,32.816,28626.536,31.869,32518.404,28.369,24648.502,28.4448,17350.6558,28.9213,21955.8296,28.2861,20338.8599,31.2318,21480.4005,,
6,20211122,688529.SH,32.86,33.47,32.48,32.88,32.62,0.26,0.7971,21855.89,72009.603,6.7406,0.68,31.936,28158.37,31.295,34431.306,27.836,23004.7235,28.4162,17229.7637,28.8204,21646.7829,28.1974,20095.3362,31.3174,21702.5932,,
7,20211119,688529.SH,31.97,33.1,31.38,32.62,31.55,1.07,3.3914,29052.06,94198.978,8.9599,0.87,31.912,31985.21,30.857,37003.435,27.4345,22129.604,28.4448,17423.7308,28.743,21499.8006,28.128,19982.3872,31.4326,22080.1971,,
8,20211118,688529.SH,31.96,33.45,31.55,31.55,31.73,-0.18,-0.5673,30737.23,100000.64,9.4797,0.89,31.6,33310.676,30.091,35086.771,27.023,20916.5155,28.4728,17571.8673,28.6737,21285.4468,28.0584,19792.6792,31.5616,22638.6194,,
9,20211117,688529.SH,30.59,32.18,30.59,31.73,30.9,0.83,2.6861,23548.31,74684.658,7.2625,0.65,31.39,34473.202,29.381,32612.31,26.6755,19768.637,28.5333,17890.173,28.6151,21071.7305,27.9977,19596.0852,31.7518,23453.7364,,
10,20211116,688529.SH,32.76,33.0,30.59,30.9,32.76,-1.86,-5.6777,35598.36,111976.839,10.9789,0.87,30.922,36410.272,28.592,30693.17,26.3535,18882.806,28.618,18466.1977,28.5541,20997.0449,27.9319,19475.7592,,,,
11,20211115,688529.SH,31.58,33.33,30.9,32.76,31.06,1.7,5.4733,40990.09,133241.236,12.6417,0.98,30.654,40704.242,27.883,27987.504,26.061,17418.0025,28.7617,18943.2105,28.4951,20774.5918,27.8742,19309.6524,,,,
12,20211112,688529.SH,30.99,31.8,30.1,31.06,30.5,0.56,1.8361,35679.39,110268.189,11.0039,0.97,29.802,42021.66,26.994,24796.56,25.677,15761.163,28.8478,19089.9948,28.4108,20443.0195,27.7988,19039.6498,,,,
13,20211111,688529.SH,29.94,31.33,29.1,30.5,29.39,1.11,3.7768,36549.86,111197.942,11.2723,1.19,28.582,36862.866,26.187,21840.804,25.3705,14354.1555,28.9685,19247.1107,28.3434,20170.9074,27.7355,18851.3034,,,,
14,20211110,688529.SH,29.08,29.97,28.17,29.39,29.56,-0.17,-0.5751,33233.66,97084.496,10.2496,1.33,27.372,30751.418,25.4,19316.822,25.1105,12845.616,29.1085,20040.9773,28.2847,19899.523,27.6721,18616.3644,,,,
15,20211109,688529.SH,29.3,30.99,28.45,29.56,28.5,1.06,3.7193,57068.21,170194.638,17.6004,3.74,26.262,24976.068,24.869,16778.6,24.931,11487.396,29.1758,20226.9558,28.2368,19712.25,27.6207,18417.6861,,,,
16,20211108,688529.SH,25.68,29.45,25.68,28.5,24.96,3.54,14.1827,47577.18,130015.419,15.6504,6.28,25.112,15270.766,24.377,11578.141,24.7085,9079.392,29.2183,19893.4015,28.1943,19287.1098,27.5653,17999.2669,,,,
17,20211105,688529.SH,24.06,25.25,24.0,24.96,24.45,0.51,2.0859,9885.42,24623.75,3.2518,1.45,24.186,7571.46,24.012,7255.773,24.586,7179.376,29.2433,19467.8295,28.1579,18872.5936,27.5187,17687.3167,,,,
18,20211104,688529.SH,24.08,24.46,23.96,24.45,23.84,0.61,2.5587,5992.62,14580.297,1.9713,0.76,23.792,6818.742,23.955,6746.26,24.6305,7082.9405,29.334,19860.7382,28.1566,18839.6561,27.5032,17690.7782,,,,
19,20211103,688529.SH,23.9,24.16,23.55,23.84,23.81,0.03,0.126,4356.91,10400.688,1.4332,0.51,23.428,7882.226,23.97,6924.964,24.6855,7313.3895,29.3983,20618.0617,28.1669,18883.5763,27.49,17826.541,,,,
20,20211102,688529.SH,24.14,24.51,23.59,23.81,23.87,-0.06,-0.2514,8541.7,20593.462,2.8098,1.08,23.476,8581.132,24.115,7072.442,24.698,7648.4835,29.5385,21212.881,28.1821,18975.0039,27.4905,18002.9915,,,,
