,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688526.SH,26.05,26.37,26.05,26.19,26.2,-0.01,-0.0382,7847.6,20573.132,0.6559,0.67,26.426,11278.084,26.377,10882.873,26.271,10615.334,26.9985,14767.2713,28.5419,17813.1962,30.2625,20368.5527,35.3998,24687.41,,
1,20211129,688526.SH,26.09,26.46,26.03,26.2,26.37,-0.17,-0.6447,11765.14,30801.231,0.9833,1.01,26.444,11631.626,26.413,11319.204,26.231,10718.1805,27.0353,15294.1183,28.6344,17948.2686,30.3734,20513.7833,35.4754,24750.8647,,
2,20211126,688526.SH,26.88,26.98,26.23,26.37,26.75,-0.38,-1.4206,11505.79,30459.839,0.9617,1.0,26.482,11650.432,26.481,11743.595,26.192,10509.078,27.0913,15629.5513,28.7348,18080.3815,30.4747,20615.3265,35.5455,24778.9214,,
3,20211125,688526.SH,26.58,26.88,26.56,26.75,26.62,0.13,0.4884,9709.43,25961.489,0.8115,0.84,26.474,11450.366,26.471,11282.432,26.131,10504.3745,27.1615,15912.9572,28.8333,18367.8488,30.5825,20831.475,35.6162,24849.043,,
4,20211124,688526.SH,26.4,26.92,26.03,26.62,26.28,0.34,1.2938,15562.46,41431.24,1.3007,1.48,26.376,11538.142,26.418,11277.11,26.047,11226.6665,27.2067,16108.1805,28.9132,18698.9939,30.6974,20915.721,35.6939,24957.1161,,
5,20211123,688526.SH,26.59,26.59,26.03,26.28,26.39,-0.11,-0.4168,9615.31,25175.911,0.8037,0.87,26.328,10487.662,26.347,10341.201,26.0265,11184.3975,27.2598,16200.5493,29.0087,18876.2158,30.8023,20871.6708,35.7633,25014.9246,,
6,20211122,688526.SH,26.36,26.75,26.23,26.39,26.33,0.06,0.2279,11859.17,31438.655,0.9912,1.0,26.382,11006.782,26.306,10257.73,26.0505,11384.693,27.323,16337.4803,29.0985,19047.934,30.9173,20921.4153,35.8306,25047.8862,,
7,20211119,688526.SH,26.27,26.35,25.7,26.33,26.26,0.07,0.2666,10505.46,27336.976,0.8781,0.95,26.48,11836.758,26.241,10538.138,26.0835,11327.468,27.3945,16341.5795,29.1872,19272.8118,31.0268,20970.616,35.895,25094.0878,,
8,20211118,688526.SH,26.32,26.59,26.1,26.26,26.38,-0.12,-0.4549,10148.31,26705.96,0.8482,0.92,26.468,11114.498,26.223,10352.26,26.1195,11149.1515,27.4638,16433.3765,29.2828,19485.3151,31.1331,21014.3005,35.9659,25130.2631,,
9,20211117,688526.SH,26.4,26.72,26.16,26.38,26.55,-0.17,-0.6403,10310.06,27108.24,0.8617,1.01,26.46,11016.078,26.218,10382.11,26.173,11341.391,27.5403,16694.1785,29.3912,19958.2184,31.2318,21089.0102,36.0359,25244.7061,,
10,20211116,688526.SH,27.11,27.11,26.38,26.55,26.88,-0.33,-1.2277,12210.91,32552.602,1.0206,1.28,26.366,10194.74,26.165,10347.795,26.2215,11781.2055,27.6183,16918.0902,29.5216,20050.3431,31.3403,21175.0456,36.1035,25323.88,,
11,20211115,688526.SH,26.25,27.08,26.25,26.88,26.27,0.61,2.322,16009.05,42952.02,1.338,1.73,26.23,9508.678,26.049,10117.157,26.3015,12156.588,27.6807,17215.3895,29.6443,20184.8092,31.4402,21303.3247,36.1792,25385.5613,,
12,20211112,688526.SH,26.36,26.4,26.1,26.27,26.22,0.05,0.1907,6894.16,18126.545,0.5762,0.72,26.002,9239.518,25.903,9274.561,26.3075,12137.8025,27.7227,17176.0173,29.7661,20324.6111,31.5247,21559.8538,36.2542,25433.1422,,
13,20211111,688526.SH,26.08,26.35,25.72,26.22,25.91,0.31,1.1964,9656.21,25298.647,0.8071,0.99,25.978,9590.022,25.791,9726.317,26.362,12406.1915,27.7758,17420.8175,29.9033,20479.1688,31.6305,21662.2357,36.3294,25623.9856,,
14,20211110,688526.SH,25.72,26.18,25.62,25.91,25.87,0.04,0.1546,6203.37,16052.165,0.5185,0.59,25.976,9748.142,25.676,11176.223,26.4325,12608.76,27.8365,17579.0138,30.0503,20569.3146,31.7388,21816.1013,36.3967,25761.0058,,
15,20211109,688526.SH,25.85,26.05,25.63,25.87,25.74,0.13,0.5051,8780.6,22681.605,0.7339,0.82,25.964,10500.85,25.706,12027.594,26.545,13238.465,27.903,18069.751,30.2017,20786.631,31.8503,21917.1667,36.453,26042.4862,,
16,20211108,688526.SH,26.15,26.15,25.3,25.74,26.15,-0.41,-1.5679,14663.25,37679.391,1.2256,1.58,25.868,10725.636,25.795,12511.656,26.645,13917.7095,27.9422,18162.2283,30.372,20958.5945,31.9587,21970.0108,36.51,26118.6866,,
17,20211105,688526.SH,26.26,26.53,26.01,26.15,26.21,-0.06,-0.2289,8646.68,22663.283,0.7227,0.88,25.804,9309.604,25.926,12116.798,26.788,14186.4205,27.9948,18195.604,30.5577,21214.1993,32.0752,21971.1553,36.5682,26187.4337,,
18,20211104,688526.SH,25.85,26.43,25.75,26.21,25.85,0.36,1.3926,10446.81,27352.292,0.8731,0.83,25.604,9862.612,26.016,11946.043,26.9305,15033.8995,28.0527,18362.0228,30.7507,21749.2448,32.1883,22009.0689,36.6242,26351.5251,,
19,20211103,688526.SH,25.45,26.09,25.28,25.85,25.39,0.46,1.8117,9966.91,25719.964,0.833,0.74,25.376,12604.304,26.128,12300.672,27.0245,15814.078,28.1155,18708.5443,30.9262,22269.5468,32.3072,22176.6377,36.6699,26429.0724,,
20,20211102,688526.SH,25.45,25.64,25.29,25.39,25.42,-0.03,-0.118,9904.53,25189.24,0.8278,0.69,25.448,13554.338,26.278,13214.616,27.091,15888.1075,28.1687,18976.0928,31.0608,22319.1965,32.4158,22371.1445,36.7149,26546.677,,
21,20211101,688526.SH,25.01,25.68,25.0,25.42,25.15,0.27,1.0736,7583.09,19296.904,0.6338,0.51,25.722,14297.676,26.554,14196.019,27.2025,16017.2375,28.2192,19115.8833,31.2019,22472.9039,32.5451,22544.8692,36.7684,26661.9488,,
22,20211029,688526.SH,25.38,25.65,25.0,25.15,25.07,0.08,0.3191,11411.72,28908.645,0.9538,0.81,26.048,14923.992,26.712,15001.044,27.3355,16672.785,28.2748,19285.8273,31.3312,22636.5762,32.6788,22603.614,36.8276,26782.8065,,
23,20211028,688526.SH,26.0,26.0,24.81,25.07,26.21,-1.14,-4.3495,24155.27,60906.916,2.0189,2.01,26.428,14029.474,26.933,15086.066,27.4615,16842.327,28.3225,19505.4647,31.4728,22896.8951,32.817,22727.16,36.8906,26926.88,,
24,20211027,688526.SH,26.7,26.7,25.75,26.21,26.76,-0.55,-2.0553,14717.08,38395.823,1.2301,1.14,26.88,11997.04,27.189,14041.297,27.5805,16751.793,28.3882,19434.55,31.6275,22853.5319,32.9482,22767.9621,36.9533,27119.4435,,
25,20211026,688526.SH,27.03,27.03,26.53,26.76,27.05,-0.29,-1.0721,13621.22,36412.627,1.1385,0.97,27.108,12874.894,27.384,14449.336,27.573,17424.376,28.4422,19516.6193,31.7575,22809.1254,33.0814,23178.6542,37.008,27381.9433,,
26,20211025,688526.SH,27.2,27.43,26.9,27.05,27.05,0.0,0.0,10714.67,28978.227,0.8955,0.71,27.386,14094.362,27.495,15323.763,27.6085,17430.9125,28.4902,19878.9585,31.8907,22828.7597,33.2199,23508.7905,37.0492,27634.8198,,
27,20211022,688526.SH,27.33,27.33,27.03,27.05,27.33,-0.28,-1.0245,6939.13,18798.216,0.58,0.43,27.376,15078.096,27.65,16256.043,27.6195,17836.068,28.5592,19974.5883,32.0155,22899.2456,33.3487,23679.5599,37.0934,28043.5977,,
28,20211021,688526.SH,27.28,27.47,26.96,27.33,27.35,-0.02,-0.0731,13993.1,37975.112,1.1696,0.87,27.438,16142.658,27.845,18121.756,27.626,18152.8995,28.6222,20214.008,32.1358,22987.3303,33.4668,23966.5167,37.1332,28551.2849,,
29,20211020,688526.SH,28.07,28.13,27.21,27.35,28.15,-0.8,-2.8419,19106.35,52815.371,1.5969,1.19,27.498,16085.554,27.921,19327.484,27.6385,17976.276,28.6858,20261.6733,32.2436,23038.5341,33.5876,24133.9616,37.161,28973.2952,,
30,20211019,688526.SH,26.91,28.43,26.91,28.15,27.0,1.15,4.2593,19718.56,54929.625,1.6481,1.19,27.66,16023.778,27.904,18561.599,27.6535,17738.2695,28.7585,20416.6155,32.3641,23053.8136,33.692,24141.4898,37.1868,29267.0146,,
31,20211018,688526.SH,27.35,27.48,26.85,27.0,27.36,-0.36,-1.3158,15633.34,42315.927,1.3066,0.9,27.604,16553.164,27.851,17838.456,27.64,17349.0155,28.8327,20857.2128,32.4679,23132.6721,33.7893,24107.4004,37.2026,29502.4192,,
