,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688680.SH,299.5,307.44,295.0,299.66,301.2,-1.54,-0.5113,5965.12,178390.953,2.9575,0.57,302.9,8487.05,314.656,10077.508,307.6275,9049.524,282.5408,11900.0827,266.5688,13666.0356,254.229,13326.5832,,,,
1,20211129,688680.SH,299.2,312.0,298.88,301.2,304.51,-3.31,-1.087,7024.64,214460.869,3.4828,0.57,307.638,10441.54,313.231,10064.544,307.7945,9395.2605,282.4665,12154.5717,266.0522,13674.0801,253.0386,13384.263,,,,
2,20211126,688680.SH,301.2,314.43,300.0,304.51,301.14,3.37,1.1191,7939.19,242487.044,3.9362,0.58,316.4,12298.278,313.799,10277.706,308.6905,9724.4275,281.9548,12475.2375,265.5168,13719.8926,251.8356,13463.8724,,,,
3,20211125,688680.SH,306.0,308.6,300.02,301.14,307.99,-6.85,-2.2241,5026.74,153120.878,2.4922,0.36,325.898,13627.358,315.368,10329.49,310.2155,10097.8075,281.0797,12723.4123,265.0417,13788.574,250.6594,13498.3048,,,,
4,20211124,688680.SH,325.0,327.11,294.1,307.99,323.35,-15.36,-4.7503,16479.56,501812.562,8.1705,1.41,328.21,13904.002,316.252,10671.647,309.693,10853.6035,279.6643,12873.437,264.5431,13944.1415,249.5372,13565.6542,,,,
5,20211123,688680.SH,345.01,348.88,318.05,323.35,345.01,-21.66,-6.2781,15737.57,517836.338,7.8026,1.62,326.412,11667.966,315.48,9657.759,308.784,10599.6925,277.8978,12848.49,263.5572,13878.559,248.296,13527.024,,,,
6,20211122,688680.SH,352.0,359.13,338.27,345.01,352.0,-6.99,-1.9858,16308.33,566803.233,8.0856,1.98,318.824,9687.548,312.945,8857.471,306.2025,10187.918,275.732,13040.7553,262.3687,13821.7317,246.8761,13443.2682,,,,
7,20211119,688680.SH,308.11,362.21,306.12,352.0,312.7,39.3,12.568,14584.59,497736.124,7.231,2.07,311.198,8257.134,308.192,8137.869,302.85,10026.8395,273.3252,12940.214,260.8645,13798.4643,245.2762,13354.2579,,,,
8,20211118,688680.SH,300.5,314.0,291.0,312.7,299.0,13.7,4.5819,6409.96,196201.058,3.178,0.86,304.838,7031.622,301.892,7464.398,297.84,9844.974,270.7252,13015.9583,259.3266,13762.8432,243.6137,13349.0387,,,,
9,20211117,688680.SH,281.0,304.47,281.0,299.0,285.41,13.59,4.7616,5299.38,157424.657,2.6274,0.69,304.294,7439.292,300.629,7637.394,295.3495,9948.568,268.7117,13119.2848,258.2136,13784.4364,242.3343,13367.8679,,,,
