,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688590.SH,18.44,18.96,18.23,18.55,18.44,0.11,0.5965,26553.61,49447.126,6.865,0.85,18.996,34641.174,18.572,22922.833,18.188,18910.673,18.137,14630.6068,20.0162,32157.9844,19.7689,31830.5523,,,,
1,20211129,688590.SH,18.37,18.5,18.22,18.44,18.75,-0.31,-1.6533,20282.98,37226.675,5.2438,0.69,18.902,31141.604,18.541,21550.723,18.063,18021.269,18.1702,14632.6063,20.0043,32014.3542,19.7662,31897.2413,,,,
2,20211126,688590.SH,18.89,19.68,18.34,18.75,19.2,-0.45,-2.3438,36080.84,68130.193,9.3281,1.45,18.852,29215.5,18.585,21246.907,17.9555,17451.1135,18.213,15061.9328,19.9974,31969.8492,19.7699,32194.3642,,,,
3,20211125,688590.SH,19.89,20.38,19.16,19.2,20.04,-0.84,-4.1916,40451.65,79261.944,10.4581,2.06,18.758,24961.716,18.538,19318.815,17.8135,16039.5395,18.2727,15388.3948,19.9949,31758.3143,19.7678,32392.4114,,,,
4,20211124,688590.SH,18.17,20.4,18.02,20.04,18.08,1.96,10.8407,49836.79,96483.605,12.8845,4.45,18.462,19643.638,18.442,16608.864,17.631,14394.868,18.3072,15142.2455,19.9854,31525.024,19.7515,32237.8186,,,,
5,20211123,688590.SH,18.15,18.28,17.9,18.08,18.19,-0.11,-0.6047,9055.76,16345.337,2.3412,0.76,18.148,11204.492,18.284,13984.063,17.4075,12335.034,18.3225,14686.2868,19.9675,31140.0688,19.7228,31942.9693,,,,
6,20211122,688590.SH,18.48,18.48,17.93,18.19,18.28,-0.09,-0.4923,10652.46,19276.656,2.754,0.8,18.18,11959.842,18.254,14456.191,17.3145,12184.844,18.3518,14927.6627,19.9687,31213.092,19.7129,32026.1858,,,,
7,20211119,688590.SH,18.28,18.44,17.8,18.28,17.72,0.56,3.1603,14811.92,26988.569,3.8294,1.08,18.318,13278.314,18.18,14628.39,17.225,12057.07,18.3853,15422.9428,19.9663,31344.9001,19.7024,32212.8623,,,,
8,20211118,688590.SH,18.48,18.7,17.72,17.72,18.47,-0.75,-4.0606,13861.26,25033.95,3.5836,1.02,18.318,13675.914,18.085,14701.654,17.14,11686.8745,18.4373,15472.0445,19.9651,31442.4552,19.6886,32218.1981,,,,
9,20211117,688590.SH,18.35,18.65,18.21,18.47,18.24,0.23,1.261,7641.06,14133.341,1.9755,0.46,18.422,13574.09,17.989,14370.494,17.094,11647.75,18.4927,15654.4088,19.9736,31450.2598,19.6749,32159.1703,,,,
