,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688608.SH,261.2,272.97,259.03,270.1,261.0,9.1,3.4866,9889.05,265978.923,4.1204,1.12,264.308,8996.492,258.907,8645.486,247.9895,7456.1765,256.7985,6875.0863,279.0999,8930.9254,283.751,9837.1721,,,,
1,20211129,688608.SH,257.97,263.88,254.1,261.0,260.81,0.19,0.0728,4838.21,125970.715,2.0159,0.5,262.482,8828.664,255.197,8291.5,245.939,7258.322,257.2635,6837.2705,279.4135,8953.9017,283.8618,9798.0117,,,,
2,20211126,688608.SH,266.0,272.0,257.3,260.81,269.73,-8.92,-3.307,8346.32,219306.055,3.4776,0.89,261.984,9633.626,253.176,8610.721,244.535,7298.0245,257.8635,6873.5313,279.8423,9032.0223,284.1327,9817.8019,,,,
3,20211125,688608.SH,261.91,277.92,259.2,269.73,259.9,9.83,3.7822,14895.4,403623.085,6.2064,1.84,260.288,9349.804,251.795,8432.596,242.8115,7242.9215,258.6778,6837.8553,280.4033,9129.9399,284.4671,9849.7314,,,,
4,20211124,688608.SH,261.56,267.93,259.01,259.9,260.97,-1.07,-0.41,7013.48,184820.324,2.9223,0.85,256.184,8114.112,249.395,7858.33,240.2615,7294.9535,259.549,6781.3662,280.6875,9123.4312,284.6267,9806.1916,,,,
5,20211123,688608.SH,264.14,268.0,258.2,260.97,258.51,2.46,0.9516,9049.91,237622.831,3.7708,1.17,253.506,8294.48,246.678,7581.236,239.009,7448.7125,260.6252,6934.0487,281.1425,9225.854,284.7727,9799.4937,,,,
6,20211122,688608.SH,252.5,265.0,252.33,258.51,252.33,6.18,2.4492,8863.02,232032.343,3.6929,1.17,247.912,7754.336,244.029,7303.55,238.173,7281.9865,261.3092,6882.8282,281.6565,9241.8675,284.9703,9823.7075,,,,
7,20211119,688608.SH,250.17,254.39,243.0,252.33,249.21,3.12,1.252,6927.21,173486.877,2.8863,0.92,244.368,7587.816,241.279,6857.19,237.7125,7035.5475,262.029,6793.8407,282.1714,9341.8709,285.0971,9789.9158,,,,
8,20211118,688608.SH,243.79,255.0,242.51,249.21,246.51,2.7,1.0953,8716.94,217587.451,3.6321,1.15,243.302,7515.388,239.756,6617.816,237.641,6924.492,262.7902,6782.5005,282.9332,9410.8978,285.2902,9782.0163,,,,
9,20211117,688608.SH,233.0,247.38,231.56,246.51,233.0,13.51,5.7983,7915.32,190833.093,3.2981,1.15,242.606,7602.548,238.578,6539.362,237.7305,6608.263,263.7873,6735.6535,283.7311,9453.0874,285.3868,9755.8036,,,,
10,20211116,688608.SH,240.0,242.9,232.5,233.0,240.79,-7.79,-3.2352,6349.19,150044.548,2.6455,0.93,239.85,6867.992,237.072,6266.867,238.125,6380.215,264.8622,6762.3487,284.6893,9510.3113,285.5472,9724.07,,,,
11,20211115,688608.SH,246.95,251.66,236.41,240.79,247.0,-6.21,-2.5142,8030.42,193435.996,3.346,1.31,240.146,6852.764,236.681,6225.144,239.325,6245.755,266.0202,6820.9297,285.7193,9662.8658,285.88,9735.7177,,,,
12,20211112,688608.SH,244.63,248.5,238.38,247.0,245.73,1.27,0.5168,6565.07,160974.761,2.7354,1.15,238.19,6126.564,235.894,5985.328,240.2955,6122.3,267.2067,6838.7165,286.8664,9889.5309,286.2109,9726.7182,,,,
