,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688636.SH,159.88,163.88,158.01,161.0,160.0,1.0,0.625,3398.85,54754.37,3.1989,1.12,157.448,3105.988,159.353,3283.862,153.9705,3654.156,148.7333,4221.9865,143.6382,5199.2785,136.7953,5828.9388,,,,
1,20211129,688636.SH,155.03,161.4,153.23,160.0,157.0,3.0,1.9108,3443.44,54477.407,3.2409,1.18,157.246,3037.38,158.909,3251.16,153.097,3754.4985,148.9263,4209.7288,143.1957,5354.6592,136.312,5899.6583,,,,
2,20211126,688636.SH,152.67,159.62,152.67,157.0,153.0,4.0,2.6144,3300.15,52144.189,3.106,1.2,157.656,2917.904,158.833,3216.643,152.337,3824.316,149.1763,4222.8737,142.6207,5380.7483,135.862,5981.8397,,,,
3,20211125,688636.SH,153.04,158.8,152.23,153.0,156.24,-3.24,-2.0737,2684.9,41470.279,2.527,0.8,159.036,2757.322,159.193,3272.441,151.1775,3807.5005,149.4347,4230.2993,142.1137,5417.773,135.4951,6054.2653,,,,
4,20211124,688636.SH,157.78,161.88,154.01,156.24,159.99,-3.75,-2.3439,2702.6,42547.365,2.5436,0.78,161.648,3347.594,159.67,3604.861,150.252,3877.282,149.8045,4273.1712,141.6247,5466.3002,135.1676,6140.6384,,,,
5,20211123,688636.SH,164.63,166.87,159.55,159.99,162.05,-2.06,-1.2712,3055.81,49581.253,2.8761,0.88,161.258,3461.736,158.886,3737.639,149.6035,4036.329,150.0502,4379.9562,141.1573,5507.3361,134.7403,6252.1457,,,,
6,20211122,688636.SH,162.82,165.68,160.71,162.05,163.9,-1.85,-1.1287,2846.06,46167.672,2.6786,0.81,160.572,3464.94,157.586,3988.275,148.704,4511.058,150.082,4531.8198,140.6455,5563.9519,134.2039,6309.4802,,,,
7,20211119,688636.SH,164.21,168.2,163.11,163.9,166.06,-2.16,-1.3007,2497.24,41139.63,2.3503,0.66,160.01,3515.382,155.253,3987.671,147.5915,4699.3225,149.7107,4560.7567,140.0769,5660.7455,133.6668,6375.7758,,,,
8,20211118,688636.SH,153.7,168.78,152.81,166.06,154.29,11.77,7.6285,5636.26,91807.43,5.3047,1.46,159.35,3787.56,152.595,4078.103,145.497,4744.657,149.1723,4569.2503,139.433,5738.5943,133.1036,6430.0713,,,,
9,20211117,688636.SH,156.26,157.88,153.11,154.29,156.56,-2.27,-1.4499,3273.31,50730.758,3.0808,0.82,157.692,3862.128,149.957,3941.809,143.6245,4560.2915,148.5263,4560.8353,138.7764,5750.663,132.5308,6474.4666,,,,
