,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688618.SH,45.32,46.5,44.5,45.47,45.14,0.33,0.7311,4448.23,20259.059,3.957,0.55,45.932,7851.242,45.02,6755.6,42.5495,4726.644,40.3812,2937.672,41.5842,4072.5075,41.2693,4323.5876,,,,
1,20211129,688618.SH,44.1,45.5,44.0,45.14,44.6,0.54,1.2108,4026.34,18110.05,3.5817,0.47,45.904,8048.498,44.598,6647.154,42.195,4658.636,40.3595,2935.9403,41.5461,4122.9622,41.2237,4376.6272,,,,
2,20211126,688618.SH,46.57,46.6,44.5,44.6,46.45,-1.85,-3.9828,11811.49,53301.169,10.5072,1.71,45.926,8603.606,44.292,6823.551,41.85,4569.701,40.3535,2966.9145,41.5288,4230.9113,41.1806,4428.871,,,,
3,20211125,688618.SH,50.0,50.0,46.43,46.45,48.0,-1.55,-3.2292,8864.39,42431.971,7.8856,1.36,45.728,6912.59,43.909,5939.853,41.4665,4087.089,40.3887,2841.5582,41.51,4345.0214,41.1398,4397.0882,,,,
4,20211124,688618.SH,45.6,48.58,45.3,48.0,45.33,2.67,5.8901,10105.76,47742.274,8.9899,1.79,45.014,6510.018,43.306,5412.511,40.997,3812.9765,40.383,2771.7138,41.4253,4285.3074,41.0718,4355.6403,,,,
5,20211123,688618.SH,45.1,46.45,44.44,45.33,45.25,0.08,0.1768,5434.51,24603.819,4.8344,1.04,44.108,5659.958,42.51,4643.881,40.562,3532.2565,40.3513,2693.3365,41.332,4207.9275,40.9869,4316.4082,,,,
6,20211122,688618.SH,43.98,46.19,43.51,45.25,43.61,1.64,3.7606,6801.88,30636.454,6.0508,1.35,43.292,5245.81,41.934,4280.363,40.146,3308.906,40.3375,2677.3612,41.262,4182.6667,40.9277,4317.7893,,,,
7,20211119,688618.SH,42.9,43.89,42.51,43.61,42.88,0.73,1.7024,3356.41,14526.516,2.9858,0.68,42.658,5043.496,41.33,3724.903,39.7615,3045.9315,40.3107,2595.3403,41.1988,4143.5122,40.8613,4299.5903,,,,
8,20211118,688618.SH,43.46,45.48,42.48,42.88,43.47,-0.59,-1.3573,6851.53,30176.625,6.095,1.59,42.09,4967.116,40.929,3640.482,39.434,2923.4145,40.3098,2583.1073,41.1576,4150.2168,40.8021,4296.4087,,,,
9,20211117,688618.SH,41.01,43.74,40.89,43.47,41.25,2.22,5.3818,5855.46,25077.254,5.2089,1.61,41.598,4315.004,40.541,3134.37,39.151,2652.3485,40.3193,2560.4727,41.1208,4114.2497,40.7462,4262.1488,,,,
10,20211116,688618.SH,42.48,42.8,41.22,41.25,42.08,-0.83,-1.9724,3363.77,14073.978,2.9923,1.01,40.912,3627.804,40.079,2697.688,38.8585,2404.54,40.3523,2527.5167,41.0814,4091.0813,40.6842,4229.1119,,,,
11,20211115,688618.SH,40.77,43.2,40.77,42.08,40.77,1.31,3.2131,5790.31,24451.179,5.1509,2.41,40.576,3314.916,39.792,2670.118,38.684,2298.1035,40.4077,2528.4095,41.0589,4086.3473,40.6427,4220.3774,,,,
