,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688580.SH,105.0,105.89,103.02,104.13,105.25,-1.12,-1.0641,2370.75,24689.433,0.9958,0.68,106.586,3724.558,105.412,3092.553,102.3535,3019.237,99.1727,3507.4353,111.0961,5026.2117,117.8112,5685.1274,113.1656,6407.2627,,
1,20211129,688580.SH,107.73,108.95,104.01,105.25,107.57,-2.32,-2.1567,3591.39,37821.533,1.5086,1.1,106.48,3497.41,105.609,3414.797,101.932,3094.0275,99.2288,3500.389,111.71,5097.7515,118.1074,5718.5403,113.1878,6417.4682,,
2,20211126,688580.SH,108.0,109.8,106.59,107.57,108.0,-0.43,-0.3981,2434.76,26361.847,1.0227,0.79,106.308,3261.576,105.46,3650.759,101.458,3205.8785,99.2678,3506.9513,112.4572,5171.8191,118.3928,5780.2333,113.199,6420.8236,,
3,20211125,688580.SH,108.9,113.3,107.63,108.0,107.98,0.02,0.0185,4910.06,53885.594,2.0625,1.74,105.584,3098.796,104.703,3579.032,100.7435,3289.1845,99.338,3521.6067,113.0565,5229.395,118.738,5872.946,113.2048,6433.3505,,
4,20211124,688580.SH,103.9,108.5,103.9,107.98,103.6,4.38,4.2278,5315.83,56660.14,2.2329,2.16,104.634,2819.822,103.903,3412.964,99.7875,3360.857,99.3935,3500.2557,113.6005,5236.6607,119.0547,5943.1163,113.2236,6433.7583,,
5,20211123,688580.SH,104.98,105.97,103.5,103.6,104.39,-0.79,-0.7568,1235.01,12885.422,0.5188,0.37,104.238,2460.548,102.855,3123.784,98.983,3211.5285,99.5007,3469.8262,114.1707,5287.8818,119.3295,6029.7618,113.2368,6438.6392,,
6,20211122,688580.SH,103.73,104.86,101.45,104.39,103.95,0.44,0.4233,2412.22,24813.572,1.0133,0.6,104.738,3332.184,102.305,3223.126,98.4805,3210.8025,99.6315,3539.8603,114.7315,5370.5193,119.6454,6120.1463,113.2786,6455.1667,,
7,20211119,688580.SH,104.56,104.9,102.26,103.95,103.25,0.7,0.678,1620.86,16779.681,0.6808,0.4,104.612,4039.942,101.495,3186.932,97.9385,3190.8125,99.8383,3531.1645,115.1577,5432.7892,119.8843,6200.1612,113.317,6463.7965,,
8,20211118,688580.SH,105.07,107.4,103.1,103.25,106.0,-2.75,-2.5943,3515.19,37009.305,1.4766,0.88,103.822,4059.268,100.861,3231.179,97.4205,3166.7775,100.0695,3544.8333,115.6615,5514.1728,120.0463,6264.3962,113.3692,6481.8032,,
9,20211117,688580.SH,105.8,106.51,103.25,106.0,106.1,-0.1,-0.0943,3519.46,37060.359,1.4784,0.93,103.172,4006.106,100.333,3156.804,96.893,3090.2715,100.3062,3567.121,116.2389,5572.3569,120.203,6308.6724,113.4351,6504.0686,,
