,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688599.SH,72.82,74.6,71.8,73.13,72.77,0.36,0.4947,119707.07,878091.334,0.9863,0.67,71.904,169511.92,74.762,196492.965,72.4145,198732.4655,63.2958,211704.1993,54.8589,237163.6674,49.6001,240538.3438,34.1893,213629.3229,,
1,20211129,688599.SH,70.96,74.72,70.58,72.77,71.62,1.15,1.6057,162122.97,1185326.104,1.3358,0.89,72.968,178023.28,74.277,199198.487,72.4325,204518.3,62.9707,213209.0605,54.4276,238449.604,49.1432,240803.266,33.9672,213994.3711,,
2,20211126,688599.SH,69.02,71.68,69.02,71.62,69.02,2.6,3.767,138612.17,979878.695,1.1421,0.63,74.664,182463.644,74.08,199644.869,72.494,214962.4125,62.6382,216302.1868,53.9971,239862.7526,48.6959,241224.2131,33.7452,214228.3137,,
3,20211125,688599.SH,71.88,72.88,69.02,69.02,72.98,-3.96,-5.4261,190323.54,1338121.376,1.5682,0.83,76.7,220384.48,74.268,205910.511,72.828,222838.6265,62.3437,220726.5487,53.5644,240931.1128,48.261,242314.5708,33.5254,214117.2219,,
4,20211124,688599.SH,79.12,79.36,72.2,72.98,78.45,-5.47,-6.9726,236793.85,1766541.871,1.9511,1.06,77.768,229739.164,74.34,208364.735,72.977,221080.52,61.9903,222627.0372,53.1593,241463.389,47.8391,242179.835,33.318,213759.8585,,
5,20211123,688599.SH,80.0,83.23,76.7,78.45,81.25,-2.8,-3.4462,162263.87,1290220.609,1.337,0.74,77.62,223474.01,73.828,202208.689,72.882,217250.97,61.5477,221778.7667,52.711,241893.6476,47.3739,241149.041,33.0942,213173.6572,,
6,20211122,688599.SH,80.06,82.55,78.92,81.25,81.8,-0.55,-0.6724,184324.79,1486578.583,1.5188,0.85,75.586,220373.694,72.903,214991.216,72.318,215828.1605,60.9698,221965.8277,52.1935,244079.6169,46.8616,240326.6077,32.8484,212916.8712,,
7,20211119,688599.SH,74.0,82.28,73.0,81.8,74.36,7.44,10.0054,328216.35,2547721.872,2.7044,1.71,73.496,216826.094,72.027,213126.53,71.5905,217840.7905,60.354,222709.041,51.6396,245307.9768,46.3259,239203.7361,32.5912,212841.4486,,
8,20211118,688599.SH,72.23,75.33,68.24,74.36,72.24,2.12,2.9347,237096.96,1711627.186,1.9536,1.27,71.836,191436.542,70.807,198673.487,70.6335,210126.0295,59.7013,222716.5873,51.0761,245250.7123,45.7873,236996.9543,32.3342,212542.295,,
9,20211117,688599.SH,69.27,74.49,68.53,72.24,68.28,3.96,5.7996,205468.08,1475394.298,1.693,1.14,70.912,186990.306,70.341,192946.161,70.119,207644.5855,59.177,222869.9583,50.5808,245068.6837,45.3083,235430.1552,32.1068,213099.2232,,
10,20211116,688599.SH,69.5,70.41,66.79,68.28,70.8,-2.52,-3.5593,146762.29,1007095.488,1.2093,0.7,70.036,180943.368,70.067,200971.966,69.872,210699.64,58.7262,224547.2815,50.1094,247658.0694,44.8494,234320.4135,31.8845,212805.944,,
