,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688589.SH,66.0,66.99,63.4,64.05,66.53,-2.48,-3.7276,31069.71,201885.156,5.6361,0.91,61.016,32577.814,57.384,38684.018,49.793,39806.535,41.2443,25139.6877,41.6098,30985.2433,40.9237,30954.8926,36.6105,19684.0658,,
1,20211129,688589.SH,58.76,67.5,58.76,66.53,58.58,7.95,13.5712,46421.26,297512.176,8.4208,1.29,59.898,34248.898,55.979,39056.279,48.309,39056.3535,40.8702,25352.7625,41.34,30872.1777,40.6999,31409.5588,36.5447,19579.7764,,
2,20211126,688589.SH,57.4,60.32,57.4,58.58,58.22,0.36,0.6183,24659.92,144861.098,4.4733,0.58,58.066,36018.246,54.526,40723.942,46.721,37562.5325,40.5477,24995.1825,41.0437,30688.4443,40.4555,31736.2438,36.4687,19416.9204,,
3,20211125,688589.SH,58.6,60.66,57.5,58.22,57.7,0.52,0.9012,29603.67,174278.067,5.3701,0.67,57.3,42365.762,53.7,47644.206,45.4995,37224.277,40.3675,25192.4178,40.854,30923.3734,40.2298,31807.0936,36.4244,19350.7547,,
4,20211124,688589.SH,58.46,59.77,57.47,57.7,58.46,-0.76,-1.3,31134.51,182005.363,5.6478,0.7,55.26,44491.664,52.187,49368.016,44.2285,36302.0185,40.2357,25697.3745,40.6388,30759.821,39.9897,31682.1161,36.3845,19254.1572,,
5,20211123,688589.SH,57.0,59.87,56.58,58.46,57.37,1.09,1.8999,39425.13,230149.495,7.1517,0.9,53.752,44790.222,50.639,50442.216,42.9745,35599.006,40.047,25631.1162,40.4286,30631.4179,39.7475,31576.314,36.3484,19153.6396,,
6,20211122,688589.SH,55.2,58.09,54.52,57.37,54.75,2.62,4.7854,55268.0,311578.705,10.0256,1.22,52.06,43863.66,48.716,50062.472,41.7815,34210.8175,39.8425,25487.5233,40.1944,30442.9196,39.5073,31462.6608,36.3088,19034.0597,,
7,20211119,688589.SH,48.02,55.88,48.02,54.75,48.02,6.73,14.015,56397.5,302262.954,10.2305,1.07,50.986,45429.638,46.68,46509.748,40.638,32008.937,39.6563,25065.396,39.9797,30108.234,39.2622,31095.4601,36.2793,18858.592,,
8,20211118,688589.SH,49.71,50.17,47.0,48.02,50.16,-2.14,-4.2663,40233.18,194408.399,7.2983,0.74,50.1,52922.65,44.854,42994.07,39.6265,29933.284,39.5152,24630.6715,39.815,29764.6941,39.0333,30675.9832,36.2655,18711.5421,,
9,20211117,688589.SH,49.03,51.4,48.91,50.16,50.0,0.16,0.32,32627.3,162601.898,5.9186,0.58,49.114,54244.368,43.672,42007.109,38.9405,28847.0965,39.5065,24788.3825,39.7087,29614.8144,38.8584,30377.5366,36.2783,18658.7204,,
10,20211116,688589.SH,52.0,53.7,49.81,50.0,52.0,-2.0,-3.8462,34792.32,178362.908,6.3113,0.62,47.526,56094.21,42.202,40929.052,38.14,27740.4135,39.5518,24870.9803,39.6011,29525.1109,38.6629,30148.285,36.265,18553.2021,,
11,20211115,688589.SH,51.39,54.54,49.26,52.0,50.32,1.68,3.3386,63097.89,329385.441,11.446,1.33,45.372,56261.284,40.639,39056.428,37.386,26633.5855,39.6435,25451.4828,39.4909,29465.2142,38.4716,29914.4389,36.2543,18441.6121,,
12,20211112,688589.SH,42.5,51.4,42.5,50.32,43.09,7.23,16.7788,93862.56,460483.545,17.0267,2.84,42.374,47589.858,38.916,34401.123,36.516,24510.606,39.71,25962.3382,39.3553,29151.4928,38.2634,29440.5652,36.2335,18216.463,,
13,20211111,688589.SH,42.68,43.9,41.63,43.09,42.22,0.87,2.0606,46841.77,200585.234,8.4971,1.57,39.608,33065.49,37.299,26804.348,35.8335,20665.521,39.649,25481.0852,39.2156,28472.9274,38.0707,28742.8509,36.22,17880.054,,
14,20211110,688589.SH,39.17,42.32,38.52,42.22,39.23,2.99,7.6217,41876.51,171029.52,7.5964,1.63,38.23,29769.85,36.27,23236.021,35.493,18806.005,39.6645,25194.9583,39.1597,28272.7568,37.9305,28413.9777,36.2279,17762.1769,,
15,20211109,688589.SH,37.1,39.66,36.66,39.23,37.01,2.22,5.9984,35627.69,136330.253,6.4629,1.63,36.878,25763.894,35.31,20755.796,35.2095,17224.999,39.6703,25134.6032,39.1247,28294.346,37.8035,28134.7583,36.2476,17644.4251,,
16,20211108,688589.SH,35.82,37.25,35.34,37.01,36.49,0.52,1.425,19740.76,72024.225,3.581,0.93,35.906,21851.572,34.847,18359.163,35.027,16061.9045,39.7765,25543.7478,39.1476,28493.1687,37.699,27894.1443,36.2819,17542.8071,,
17,20211105,688589.SH,36.79,37.29,35.68,36.49,36.2,0.29,0.8011,21240.72,77064.689,3.8531,1.03,35.458,21212.388,34.596,17508.126,35.005,15852.307,39.898,25931.3213,39.1493,28637.3358,37.6125,27769.5844,36.3301,17500.8222,,
18,20211104,688589.SH,36.3,37.49,36.02,36.2,35.46,0.74,2.0869,30363.57,111318.269,5.508,1.82,34.99,20543.206,34.399,16872.498,34.9555,15391.7725,40.0572,26616.9858,39.1426,28723.8684,37.5298,27644.3282,36.385,17441.9527,,
19,20211103,688589.SH,34.38,36.32,34.03,35.46,34.37,1.09,3.1714,21846.73,76703.267,3.963,1.39,34.31,16702.192,34.209,15687.084,34.8775,14574.8435,40.137,26825.3753,39.1504,28865.6344,37.4441,27454.529,36.4402,17370.9685,,
20,20211102,688589.SH,35.1,35.77,34.16,34.37,34.77,-0.4,-1.1504,16066.08,56104.561,2.9144,1.08,33.742,15747.698,34.078,14551.775,34.77,14476.3685,40.2607,27152.0375,39.1498,29184.5641,37.3654,27367.5081,36.5015,17322.9163,,
21,20211101,688589.SH,34.04,35.15,33.6,34.77,34.15,0.62,1.8155,16544.84,57145.868,3.0012,1.2,33.788,14866.754,34.133,14210.743,34.839,14317.656,40.4045,27811.6288,39.1781,29880.1999,37.3024,27330.6284,36.5699,17294.5006,,
