,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma60,ma_v_60,ma100,ma_v_100,ma120,ma_v_120,ma250,ma_v_250,ma500,ma_v_500
0,20211130,688698.SH,27.5,28.38,27.34,27.58,27.06,0.52,1.9217,50325.32,140062.048,13.1569,0.74,27.62,63641.034,27.216,46429.316,25.5245,30757.058,23.685,19695.6385,23.5499,21885.0732,22.6463,20796.5898,,,,
1,20211129,688698.SH,26.22,27.38,26.17,27.06,26.37,0.69,2.6166,42805.45,115254.05,11.191,0.67,28.368,67832.728,26.907,42954.332,25.263,29020.0735,23.685,19413.2765,23.4611,21636.4063,22.5668,20466.8455,,,,
2,20211126,688698.SH,27.1,27.55,26.37,26.37,27.19,-0.82,-3.0158,51515.95,138602.805,13.4682,0.91,28.176,63613.128,26.723,40636.096,25.0415,28161.46,23.6857,19376.5807,23.383,21426.6107,22.4917,20259.8652,,,,
3,20211125,688698.SH,29.17,29.85,27.08,27.19,29.9,-2.71,-9.0635,70495.54,198384.748,18.4302,1.55,27.924,56874.964,26.596,37232.989,24.779,26008.467,23.669,18829.2967,23.3192,21225.9645,22.4219,19979.4431,,,,
4,20211124,688698.SH,32.5,32.72,29.13,29.9,31.32,-1.42,-4.5338,103062.91,318063.017,26.9446,3.53,27.586,45588.344,26.319,31701.734,24.45,23174.819,23.637,18096.2318,23.2333,20674.3694,22.3418,19480.6077,,,,
5,20211123,688698.SH,31.0,31.32,29.0,31.32,26.1,5.22,20.0,71283.79,221584.077,18.6363,3.94,26.812,29217.598,25.763,22560.964,24.0275,18856.6405,23.554,17003.0903,23.1241,19794.3911,22.2353,18698.0285,,,,
6,20211122,688698.SH,25.26,26.44,25.26,26.1,25.11,0.99,3.9427,21707.45,56317.37,5.6752,1.23,25.446,18075.936,25.03,17104.578,23.5015,15614.44,23.4055,15985.3258,22.9974,19183.4628,22.1171,18183.1647,,,,
7,20211119,688698.SH,25.56,25.97,24.97,25.11,25.5,-0.39,-1.5294,17825.13,45142.33,4.6602,1.01,25.27,17659.064,24.697,15930.633,23.2455,14928.3725,23.3338,15785.1443,22.9246,19102.0121,22.0417,18078.4717,,,,
8,20211118,688698.SH,26.05,26.05,25.32,25.5,26.03,-0.53,-2.0361,14062.44,35949.278,3.6765,0.79,25.268,17591.014,24.462,15501.198,23.015,14462.5565,23.2818,15745.9073,22.8643,19208.1497,21.9746,17996.4707,,,,
9,20211117,688698.SH,24.4,26.1,24.1,26.03,24.49,1.54,6.2883,21209.18,53988.488,5.5449,1.33,25.052,17815.124,24.227,15914.488,22.7995,14264.7745,23.2198,15856.8368,22.793,19272.9942,21.9042,17953.8849,,,,
10,20211116,688698.SH,25.3,25.3,24.49,24.49,25.22,-0.73,-2.8945,15575.48,38661.844,4.072,0.97,24.714,15904.33,23.833,15084.8,22.5905,13782.4405,23.175,15791.0702,22.7127,19274.6706,21.8268,17908.1899,,,,
11,20211115,688698.SH,25.24,25.69,24.82,25.22,25.1,0.12,0.4781,19623.09,49585.295,5.1302,1.38,24.614,16133.22,23.619,15085.815,22.4295,13326.15,23.1613,15743.1858,22.6358,19209.106,21.7652,17996.5724,,,,
12,20211112,688698.SH,24.32,25.43,24.11,25.1,24.42,0.68,2.7846,17484.88,43622.786,4.5712,1.3,24.124,14202.202,23.36,15686.824,22.2235,12675.375,23.1448,15853.3077,22.5543,19103.9887,21.7076,17936.6373,,,,
13,20211111,688698.SH,24.3,24.79,23.8,24.42,24.34,0.08,0.3287,15182.99,36812.462,3.9694,1.08,23.656,13411.382,22.962,14783.945,22.0165,12270.6315,23.1208,15800.7428,22.4715,18989.1302,21.6494,17934.3196,,,,
14,20211110,688698.SH,23.74,24.47,23.7,24.34,23.99,0.35,1.4589,11655.21,28070.782,3.0471,0.82,23.402,14013.852,22.581,14647.904,21.85,12226.679,23.1043,15937.9515,22.3991,18927.2216,21.5922,17879.9906,,,,
15,20211109,688698.SH,22.85,24.24,22.78,23.99,22.77,1.22,5.3579,16719.93,39682.046,4.3712,1.19,22.952,14265.27,22.292,15152.317,21.6295,12069.018,23.1045,16024.907,22.3308,18944.3653,21.5378,17848.6203,,,,
16,20211108,688698.SH,23.02,23.39,22.52,22.77,22.76,0.01,0.0439,9968.0,22754.967,2.606,0.58,22.624,14038.41,21.973,14124.302,21.4035,11740.855,23.119,15971.7838,22.2709,18920.5983,21.4834,17808.5846,,,,
17,20211105,688698.SH,23.17,23.51,22.73,22.76,23.15,-0.39,-1.6847,13530.78,31093.524,3.5375,0.84,22.596,17171.446,21.794,13926.112,21.28,12081.2095,23.1558,16337.797,22.2184,18938.2117,21.4446,17775.8973,,,,
18,20211104,688698.SH,22.5,23.38,22.3,23.15,22.09,1.06,4.7986,18195.34,41690.968,4.757,1.19,22.268,16156.508,21.568,13423.915,21.2125,11660.2655,23.2165,16565.5997,22.1673,18906.5242,21.4049,17770.4365,,,,
19,20211103,688698.SH,22.8,22.8,21.83,22.09,22.35,-0.26,-1.1633,12912.3,28431.883,3.3758,0.81,21.76,15281.956,21.372,12615.061,21.129,11021.337,23.2373,16601.0638,22.1143,18812.1705,21.3625,17696.4751,,,,
20,20211102,688698.SH,22.63,23.06,21.9,22.35,22.63,-0.28,-1.2373,15585.63,34787.489,4.0747,1.1,21.632,16039.364,21.348,12480.081,21.07,10759.927,23.287,16806.6555,22.0707,18804.4962,21.3273,17795.0831,,,,
21,20211101,688698.SH,21.79,22.96,20.91,22.63,21.12,1.51,7.1496,25633.18,57460.44,6.7015,2.4,21.322,14210.194,21.24,11566.485,21.0345,10336.256,23.3337,17033.919,22.0275,18756.1999,21.2866,17751.066,,,,
22,20211029,688698.SH,20.31,21.48,20.14,21.12,20.61,0.51,2.4745,8456.09,17566.886,2.2107,0.79,20.992,10680.778,21.087,9663.926,20.973,9556.0595,23.3478,16906.2303,21.9817,18679.5463,21.2436,17671.3296,,,,
23,20211028,688698.SH,21.79,21.79,20.21,20.61,21.45,-0.84,-3.9161,13822.58,28690.761,3.6137,1.39,20.868,10691.322,21.071,9757.318,21.014,9647.4695,23.3753,17162.0598,21.9505,18773.6383,21.2195,17757.3877,,,,
24,20211027,688698.SH,21.1,22.47,21.1,21.45,20.8,0.65,3.125,16699.34,36189.584,4.3658,1.87,20.984,9948.166,21.119,9805.454,21.113,9563.103,23.4107,17465.7157,21.9202,18741.7654,21.1984,17792.909,,,,
25,20211026,688698.SH,20.91,21.23,20.4,20.8,20.98,-0.18,-0.858,6439.78,13363.279,1.6836,0.72,21.064,8920.798,20.967,8985.719,21.1915,9694.9005,23.4665,17574.8593,21.8769,18666.3061,21.1726,17799.1458,,,,
26,20211025,688698.SH,20.77,21.23,20.05,20.98,20.5,0.48,2.3415,7986.1,16553.896,2.0879,0.92,21.158,8922.776,20.834,9357.408,21.333,10524.488,23.5382,17914.3677,21.8402,18696.9097,21.1501,17928.8958,,,,
27,20211022,688698.SH,21.05,21.45,20.24,20.5,21.19,-0.69,-3.2563,8508.81,17588.06,2.2245,0.96,21.182,8647.074,20.766,10236.307,21.5285,11560.0855,23.6013,18233.74,21.8009,18708.4915,21.1331,18068.3305,,,,
28,20211021,688698.SH,22.0,22.0,21.01,21.19,21.85,-0.66,-3.0206,10106.8,21611.778,2.6423,1.05,21.274,8823.314,20.857,9896.616,21.727,11836.8835,23.667,18686.0843,21.7665,18703.2535,21.1202,18200.2027,,,,
29,20211020,688698.SH,21.27,22.25,20.97,21.85,21.27,0.58,2.7268,11562.5,25177.092,3.0229,1.28,21.254,9662.742,20.886,9427.613,21.8435,12026.646,23.7017,18879.521,21.7252,18691.707,21.0977,18249.1574,,,,
30,20211019,688698.SH,20.97,21.76,20.97,21.27,21.1,0.17,0.8057,6449.67,13795.592,1.6862,0.66,20.87,9050.64,20.792,9039.773,21.932,12153.1925,23.7203,19189.231,21.674,18733.3398,21.0698,18292.5521,,,,
31,20211018,688698.SH,21.08,21.29,20.69,21.1,20.96,0.14,0.6679,6607.59,13878.04,1.7275,0.56,20.51,9792.04,20.829,9106.027,22.07,13033.098,23.7557,20187.3293,21.6324,18930.6569,21.0519,18457.2303,,,,
32,20211015,688698.SH,21.09,21.46,20.71,20.96,21.09,-0.13,-0.6164,9390.01,19757.204,2.4549,0.86,20.35,11825.54,20.859,9448.193,22.218,13516.9175,23.789,21192.9893,21.6044,18988.8898,21.0285,18594.1739,,,,
33,20211014,688698.SH,19.95,21.63,19.8,21.09,19.93,1.16,5.8204,14303.94,29898.013,3.7396,1.56,20.44,10969.918,20.957,9537.621,22.434,14112.779,23.7743,21262.2448,21.576,19067.0572,21.0084,18650.3707,,,,
34,20211013,688698.SH,19.57,20.12,19.45,19.93,19.47,0.46,2.3626,8501.99,16875.564,2.2227,0.94,20.518,9192.484,21.107,9320.752,22.7075,14107.723,23.7628,21328.9275,21.5407,19010.6529,20.9913,18744.7422,,,,
